epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.541,3.55553,6.37484,5.27829,4.21185,0.00114,0.05426,0.00066,0.00017,0.00054,0.02032,0.00028,6e-05,3.17498,9.11386,15.4444,5.15208,0.0700962,0.00332265,0.00332265
2,389.777,3.35223,4.32113,4.92992,3.66104,0.05326,0.04326,0.00066,0.00015,0.05317,0.03671,0.00045,0.0001,2.96717,4.79893,4.82651,3.50527,0.0400961,0.00665592,0.00665592
3,562.911,2.78699,4.02399,4.60485,3.14664,0.00125,0.04303,0.00068,0.00023,0.00112,0.04833,0.00071,0.00025,2.9401,6.60445,inf,3.77567,0.0100958,0.00998893,0.00998893
4,732.22,2.33431,3.63177,4.16303,2.6587,0.05954,0.09004,0.00655,0.00262,0.0602,0.09411,0.00885,0.00313,nan,nan,nan,nan,0.00999912,0.00999912,0.00999912
5,900.251,1.98929,3.3845,3.75749,2.31726,0.30951,0.10255,0.06978,0.03847,0.30712,0.09819,0.06726,0.03743,1.68579,2.89426,3.12839,2.09909,0.00999844,0.00999844,0.00999844
6,1069.23,1.8081,3.19769,3.45457,2.10968,0.32845,0.14137,0.11732,0.06573,0.32435,0.13543,0.11806,0.07085,1.53861,2.49737,2.89849,1.88306,0.00999756,0.00999756,0.00999756
7,1237.27,1.66951,2.88787,3.23369,1.96666,0.44089,0.14909,0.14389,0.08745,0.43619,0.15495,0.14476,0.09173,1.36959,2.24551,2.54985,1.73307,0.00999648,0.00999648,0.00999648
8,1407.15,1.60613,2.8952,3.0935,1.9048,0.12717,0.20314,0.14834,0.0895,0.12399,0.2106,0.14766,0.09339,1.34742,2.26736,2.4668,1.7033,0.00999521,0.00999521,0.00999521
9,1576.85,1.53693,2.72793,2.97696,1.81076,0.31317,0.20902,0.16904,0.11504,0.30478,0.20056,0.16577,0.11514,1.25852,2.18762,2.31153,1.61407,0.00999375,0.00999375,0.00999375
10,1745.65,1.48375,2.61803,2.90132,1.77604,0.46173,0.16737,0.17262,0.11541,0.48418,0.16658,0.17156,0.11532,1.20923,2.0976,2.17759,1.5452,0.00999209,0.00999209,0.00999209
11,1914.95,1.45803,2.56026,2.80792,1.72814,0.32279,0.2632,0.20671,0.14085,0.26771,0.26016,0.20122,0.14013,1.16521,1.99061,2.10528,1.52046,0.00999023,0.00999023,0.00999023
12,2082.97,1.40579,2.48079,2.74016,1.69852,0.25222,0.25794,0.20342,0.14455,0.24972,0.25691,0.20396,0.14403,1.09629,1.95865,2.0031,1.43754,0.00998818,0.00998818,0.00998818
13,2250.62,1.40772,2.55274,2.75498,1.68722,0.37344,0.22457,0.20602,0.14496,0.3796,0.22288,0.20511,0.14507,1.11607,1.94,2.08255,1.44754,0.00998594,0.00998594,0.00998594
14,2417.78,1.36523,2.46815,2.63155,1.65025,0.26674,0.2656,0.22758,0.16293,0.28531,0.25227,0.22163,0.15751,1.05704,1.93125,1.93141,1.42393,0.0099835,0.0099835,0.0099835
15,2584.59,1.36752,2.56456,2.62619,1.6471,0.28951,0.29702,0.24186,0.17728,0.29243,0.31881,0.24395,0.17535,1.0345,1.8666,1.86372,1.37983,0.00998086,0.00998086,0.00998086
16,2753.94,1.3381,2.39694,2.59116,1.62637,0.28345,0.30601,0.24363,0.17494,0.27113,0.31641,0.23926,0.17114,1.03933,1.8204,1.87731,1.39448,0.00997803,0.00997803,0.00997803
17,2923.38,1.32241,2.39881,2.5433,1.60742,0.37712,0.26022,0.25857,0.18495,0.3765,0.26457,0.25644,0.18187,0.98929,1.82506,1.83397,1.3468,0.00997501,0.00997501,0.00997501
18,3090.21,1.30497,2.42565,2.51382,1.59456,0.29897,0.33458,0.26274,0.19301,0.37488,0.29893,0.26701,0.19005,0.98557,1.81964,1.85008,1.34843,0.00997179,0.00997179,0.00997179
19,3256.4,1.26121,2.33291,2.45763,1.57122,0.30392,0.32788,0.25806,0.19127,0.30143,0.33162,0.25746,0.1838,0.97282,1.81251,1.79036,1.33673,0.00996838,0.00996838,0.00996838
20,3424.9,1.24044,2.3072,2.39008,1.53027,0.31116,0.30822,0.2734,0.20372,0.30893,0.31811,0.26916,0.19632,0.9188,1.74606,1.75712,1.29769,0.00996477,0.00996477,0.00996477
21,3593.52,1.23609,2.25314,2.388,1.53373,0.37192,0.31554,0.27848,0.20744,0.38485,0.31643,0.27885,0.19831,0.95509,1.75675,1.76823,1.32077,0.00996097,0.00996097,0.00996097
22,3760.94,1.22958,2.31688,2.36733,1.51473,0.32333,0.31518,0.26167,0.19524,0.32004,0.3222,0.25785,0.18701,0.94111,1.75649,1.7952,1.30052,0.00995697,0.00995697,0.00995697
23,3929.92,1.22891,2.28687,2.38561,1.52536,0.44171,0.29599,0.29002,0.21699,0.44237,0.31004,0.29697,0.21111,0.91772,1.75536,1.67101,1.28661,0.00995278,0.00995278,0.00995278
24,4096.75,1.20625,2.21761,2.33447,1.50311,0.4157,0.31319,0.28942,0.22119,0.41521,0.31992,0.28861,0.21037,0.88261,1.71255,1.66717,1.25424,0.0099484,0.0099484,0.0099484
25,4263.28,1.19619,2.2095,2.29054,1.48345,0.39076,0.37237,0.30702,0.22412,0.38686,0.38923,0.30845,0.22352,0.89677,1.7125,1.64391,1.27229,0.00994383,0.00994383,0.00994383
26,4429.36,1.17869,2.16085,2.29892,1.48116,0.34021,0.36128,0.2984,0.22602,0.34177,0.36445,0.29901,0.22069,0.89313,1.67627,1.61892,1.26809,0.00993906,0.00993906,0.00993906
27,4596.08,1.20191,2.22312,2.30614,1.48971,0.40395,0.34938,0.30062,0.22939,0.4131,0.35086,0.3024,0.22321,0.86966,1.67493,1.58787,1.24285,0.0099341,0.0099341,0.0099341
28,4762.49,1.17125,2.22186,2.26524,1.46297,0.34869,0.37589,0.30732,0.22781,0.35456,0.39005,0.31422,0.23071,0.87674,1.66345,1.61615,1.23947,0.00992894,0.00992894,0.00992894
29,4929.82,1.17644,2.23046,2.23813,1.46673,0.36284,0.37425,0.30906,0.2326,0.36335,0.37869,0.30592,0.22374,0.89105,1.69787,1.67368,1.26774,0.00992359,0.00992359,0.00992359
30,5096.58,1.16996,2.15656,2.26709,1.46779,0.34945,0.37578,0.30862,0.23394,0.35851,0.39217,0.32466,0.23979,0.86153,1.64037,1.55411,1.24197,0.00991805,0.00991805,0.00991805
31,5263,1.12099,2.09768,2.1894,1.42636,0.51135,0.3376,0.33488,0.24521,0.52218,0.33453,0.33355,0.24336,0.83515,1.62151,1.5056,1.21457,0.00991232,0.00991232,0.00991232
32,5430.72,1.14801,2.16446,2.14126,1.43621,0.38103,0.40237,0.32743,0.24565,0.38124,0.39582,0.32046,0.23666,0.83638,1.65652,1.60827,1.22175,0.0099064,0.0099064,0.0099064
33,5597.72,1.15254,2.18749,2.1777,1.42108,0.39035,0.39109,0.32383,0.2464,0.38137,0.38366,0.31655,0.23609,0.84199,1.64936,1.54683,1.22221,0.00990028,0.00990028,0.00990028
34,5765.6,1.11795,2.092,2.14732,1.41709,0.41053,0.37159,0.33239,0.25034,0.41093,0.37197,0.33114,0.24135,0.84813,1.61602,1.48997,1.2262,0.00989398,0.00989398,0.00989398
35,5934.63,1.1324,2.15111,2.10519,1.40381,0.39527,0.40195,0.32953,0.25023,0.40407,0.40125,0.32916,0.24287,0.8164,1.59479,1.47942,1.19554,0.00988748,0.00988748,0.00988748
36,6101.51,1.11141,2.11702,2.10807,1.40176,0.43923,0.36544,0.33321,0.25352,0.44171,0.36232,0.32867,0.24296,0.80843,1.58707,1.4941,1.20182,0.00988079,0.00988079,0.00988079
37,6271.03,1.11413,2.09693,2.11362,1.408,0.41352,0.38683,0.34012,0.25726,0.41441,0.38417,0.33601,0.24588,0.80047,1.6108,1.44927,1.19161,0.00987391,0.00987391,0.00987391
38,6438.15,1.11556,2.0696,2.079,1.40487,0.39867,0.38405,0.34266,0.2635,0.3934,0.38407,0.33503,0.24685,0.81789,1.61718,1.47905,1.20633,0.00986684,0.00986684,0.00986684
39,6605.54,1.06735,1.99946,2.02969,1.37622,0.40488,0.40133,0.35625,0.27499,0.39402,0.39122,0.34687,0.26063,0.79236,1.56923,1.41662,1.18272,0.00985958,0.00985958,0.00985958
40,6774.02,1.08184,2.07502,2.06603,1.38287,0.45338,0.36583,0.35027,0.27094,0.41259,0.3829,0.34551,0.25758,0.785,1.58242,1.38443,1.17573,0.00985213,0.00985213,0.00985213
41,6940.18,1.0951,2.06746,2.06256,1.38763,0.50921,0.36859,0.37092,0.27778,0.50931,0.37378,0.37494,0.27639,0.79477,1.57013,1.35265,1.17966,0.00984449,0.00984449,0.00984449
42,7106.59,1.09082,2.04354,2.02385,1.37903,0.44197,0.38271,0.35155,0.27094,0.44068,0.38061,0.34831,0.25758,0.7849,1.56973,1.40433,1.17066,0.00983666,0.00983666,0.00983666
43,7273.52,1.05303,1.9964,1.99451,1.34223,0.4974,0.37282,0.36016,0.27515,0.50456,0.3709,0.35558,0.26512,0.76802,1.52852,1.38727,1.16747,0.00982864,0.00982864,0.00982864
44,7440.91,1.06564,2.04739,2.03371,1.36413,0.47915,0.43498,0.37587,0.28092,0.47603,0.4305,0.36924,0.27343,0.78073,1.51312,1.40443,1.16947,0.00982043,0.00982043,0.00982043
45,7608.24,1.08075,2.02763,1.99072,1.36852,0.47991,0.43446,0.38153,0.29158,0.47893,0.4321,0.38498,0.28241,0.768,1.53719,1.38153,1.15758,0.00981204,0.00981204,0.00981204
46,7776.32,1.05281,1.90724,1.98187,1.35635,0.43323,0.37492,0.35023,0.27092,0.43617,0.3721,0.34835,0.26196,0.77661,1.54004,1.38013,1.17112,0.00980345,0.00980345,0.00980345
47,7943.08,1.05768,1.98483,1.98514,1.36047,0.44511,0.39001,0.36236,0.27991,0.4118,0.40042,0.36083,0.26894,0.76981,1.54514,1.39634,1.1622,0.00979468,0.00979468,0.00979468
48,8112.2,1.05369,1.98945,1.97684,1.35246,0.45666,0.37898,0.36693,0.28756,0.46084,0.37699,0.36944,0.27697,0.76837,1.49579,1.3435,1.16065,0.00978572,0.00978572,0.00978572
49,8280.44,1.04219,1.95273,1.93501,1.34033,0.44624,0.39393,0.37099,0.28843,0.45096,0.3929,0.36354,0.26891,0.76301,1.51089,1.34497,1.15536,0.00977658,0.00977658,0.00977658
50,8449,1.03453,1.97223,1.92514,1.33662,0.4525,0.40262,0.38326,0.30213,0.45309,0.39949,0.37669,0.28559,0.7406,1.52314,1.35278,1.1507,0.00976725,0.00976725,0.00976725
51,8617.48,1.05635,1.99916,1.96534,1.35,0.46984,0.38708,0.3732,0.29155,0.46754,0.38204,0.36641,0.27629,0.77273,1.51111,1.35978,1.17376,0.00975773,0.00975773,0.00975773
52,8785.95,1.05699,1.97178,1.93895,1.34193,0.46838,0.40225,0.38295,0.3007,0.45741,0.39993,0.37684,0.28271,0.74812,1.49051,1.28986,1.14279,0.00974803,0.00974803,0.00974803
53,8953.84,1.01591,1.88896,1.89006,1.31901,0.42188,0.40929,0.3706,0.2906,0.42183,0.40659,0.36593,0.27514,0.74615,1.49232,1.33145,1.14768,0.00973814,0.00973814,0.00973814
54,9121.84,1.00774,1.88963,1.90175,1.3109,0.47203,0.39906,0.38936,0.3073,0.46071,0.39456,0.38548,0.29088,0.74316,1.4921,1.30182,1.14081,0.00972806,0.00972806,0.00972806
55,9289.59,1.03944,1.94632,1.91588,1.33924,0.46424,0.43691,0.40017,0.30861,0.46929,0.4378,0.40083,0.30047,0.7391,1.48258,1.2767,1.13415,0.0097178,0.0097178,0.0097178
56,9457.13,1.00832,1.87891,1.88081,1.30176,0.47137,0.41753,0.38701,0.30478,0.46517,0.41584,0.38595,0.28882,0.7401,1.47944,1.28123,1.13179,0.00970736,0.00970736,0.00970736
57,9615.98,1.02562,1.96265,1.89399,1.32038,0.45334,0.41122,0.39492,0.31233,0.45206,0.40724,0.39061,0.29458,0.74182,1.46862,1.31721,1.1434,0.00969673,0.00969673,0.00969673
58,9774.18,0.99576,1.82488,1.86059,1.29978,0.45547,0.40073,0.38476,0.30496,0.47873,0.37819,0.37842,0.28743,0.73178,1.47858,1.30539,1.1294,0.00968592,0.00968592,0.00968592
59,9931.64,1.01672,1.9218,1.8985,1.32236,0.42384,0.44135,0.39464,0.31318,0.42474,0.43309,0.39306,0.29862,0.71714,1.47484,1.25457,1.12,0.00967493,0.00967493,0.00967493
60,10090,0.9999,1.87736,1.85816,1.29787,0.42618,0.43993,0.38568,0.30933,0.42156,0.43923,0.38453,0.29147,0.71321,1.45447,1.29847,1.12064,0.00966375,0.00966375,0.00966375
61,10245.6,0.99405,1.81378,1.83035,1.29448,0.48038,0.4544,0.40129,0.31604,0.47951,0.45147,0.39849,0.29951,0.71512,1.4382,1.25209,1.12267,0.00965239,0.00965239,0.00965239
62,10400.6,1.00023,1.83965,1.8404,1.295,0.45663,0.44608,0.39922,0.31525,0.45297,0.43979,0.39487,0.30083,0.73535,1.44921,1.26034,1.13608,0.00964085,0.00964085,0.00964085
63,10556.3,0.99961,1.87486,1.84674,1.30201,0.47902,0.39651,0.38634,0.30648,0.48317,0.39172,0.38446,0.28968,0.70784,1.4489,1.25926,1.1213,0.00962913,0.00962913,0.00962913
64,10712.5,0.98759,1.86116,1.82968,1.29197,0.45616,0.44295,0.40408,0.32211,0.45603,0.43666,0.40079,0.30559,0.70918,1.43274,1.21873,1.11887,0.00961723,0.00961723,0.00961723
65,10757.4,0.98331,1.83857,1.80279,1.28974,0.45474,0.42398,0.39446,0.3151,0.45036,0.41844,0.38685,0.29639,0.71642,1.44372,1.2536,1.12168,0.00960515,0.00960515,0.00960515
66,10794.6,1.00752,1.90163,1.82152,1.28608,0.46644,0.43431,0.41996,0.33223,0.46987,0.42761,0.41155,0.31291,0.70859,1.42939,1.21149,1.10918,0.00959289,0.00959289,0.00959289
67,10832.3,0.95642,1.83608,1.79022,1.28077,0.47316,0.44654,0.4204,0.33316,0.47092,0.44149,0.41535,0.31637,0.70433,1.41299,1.209,1.11002,0.00958044,0.00958044,0.00958044
68,10870,0.98128,1.84422,1.79369,1.28306,0.52182,0.4061,0.42241,0.33696,0.48667,0.42723,0.41804,0.32069,0.69958,1.41602,1.19737,1.1069,0.00956782,0.00956782,0.00956782
69,10908.9,1.00842,1.86678,1.78007,1.29655,0.50242,0.43754,0.43522,0.34564,0.50766,0.43549,0.42939,0.3292,0.69339,1.40798,1.18258,1.10157,0.00955502,0.00955502,0.00955502
70,10947.2,0.97431,1.79193,1.73708,1.2732,0.47915,0.45459,0.43217,0.34531,0.49203,0.44288,0.42637,0.32424,0.68731,1.40069,1.19176,1.09648,0.00954205,0.00954205,0.00954205
71,10986.1,0.96515,1.84441,1.76907,1.26537,0.49425,0.44745,0.43466,0.34287,0.49804,0.4408,0.42876,0.32873,0.68812,1.39545,1.17095,1.10059,0.00952889,0.00952889,0.00952889
72,11023.2,0.96128,1.7965,1.7302,1.2661,0.44933,0.45114,0.41046,0.3293,0.44946,0.44517,0.40759,0.31012,0.69336,1.40828,1.22787,1.09671,0.00951556,0.00951556,0.00951556
73,11060.4,0.97073,1.78203,1.79661,1.2673,0.48524,0.43565,0.41498,0.32982,0.46559,0.45301,0.40884,0.31325,0.69545,1.43195,1.19717,1.10245,0.00950206,0.00950206,0.00950206
74,11095.8,0.97416,1.85002,1.74181,1.26699,0.50455,0.44833,0.43769,0.34495,0.49686,0.44141,0.43115,0.33176,0.68377,1.40516,1.1545,1.09776,0.00948837,0.00948837,0.00948837
75,11130,0.96255,1.77693,1.74253,1.26615,0.59044,0.41851,0.43178,0.34057,0.57675,0.42203,0.42841,0.32914,0.69259,1.40966,1.17571,1.10017,0.00947452,0.00947452,0.00947452
76,11165.1,0.97819,1.85794,1.75994,1.26928,0.51267,0.428,0.42248,0.3357,0.51256,0.42441,0.4206,0.32281,0.688,1.39582,1.17827,1.09499,0.00946048,0.00946048,0.00946048
77,11199.7,0.94279,1.70967,1.68731,1.25086,0.53286,0.42516,0.42836,0.34251,0.53067,0.41825,0.42437,0.32602,0.68186,1.38657,1.1601,1.09146,0.00944628,0.00944628,0.00944628
78,11236.1,0.94695,1.83859,1.74609,1.2571,0.57291,0.44479,0.45392,0.35998,0.57305,0.44186,0.44981,0.34686,0.67722,1.37861,1.14601,1.08912,0.00943189,0.00943189,0.00943189
79,11273.3,0.95861,1.766,1.72108,1.26333,0.52856,0.46907,0.45481,0.36062,0.5108,0.47448,0.45087,0.34734,0.68411,1.37196,1.15083,1.08512,0.00941734,0.00941734,0.00941734
80,11310.4,0.95717,1.86067,1.70288,1.25457,0.53932,0.44703,0.44898,0.35573,0.51076,0.46273,0.44734,0.34025,0.67006,1.37356,1.13741,1.08194,0.00940262,0.00940262,0.00940262
81,11346.3,0.95534,1.75842,1.7209,1.25344,0.51991,0.43761,0.43635,0.34598,0.51593,0.42739,0.42852,0.33029,0.68222,1.36379,1.17034,1.0933,0.00938772,0.00938772,0.00938772
82,11381.9,0.9274,1.72156,1.72559,1.24053,0.51382,0.46213,0.44774,0.36025,0.53837,0.43605,0.44381,0.34193,0.66744,1.3726,1.16965,1.08431,0.00937265,0.00937265,0.00937265
83,11419.7,0.96685,1.83795,1.72613,1.26285,0.49231,0.47231,0.45395,0.35951,0.48878,0.46621,0.44807,0.34453,0.6685,1.36145,1.13158,1.07863,0.00935741,0.00935741,0.00935741
84,11457.4,0.96412,1.78622,1.6612,1.26361,0.50016,0.48285,0.45193,0.36476,0.50139,0.48311,0.44953,0.34742,0.67014,1.35628,1.12212,1.0813,0.009342,0.009342,0.009342
85,11497.7,0.91851,1.726,1.66617,1.22771,0.50285,0.46712,0.44443,0.35916,0.50067,0.45936,0.44014,0.34262,0.66717,1.35587,1.13605,1.08445,0.00932642,0.00932642,0.00932642
86,11536.3,0.95245,1.78107,1.66951,1.25332,0.5207,0.47045,0.45797,0.36845,0.52194,0.46458,0.451,0.34852,0.6714,1.36372,1.13367,1.08065,0.00931067,0.00931067,0.00931067
87,11575.8,0.9471,1.72628,1.70062,1.24391,0.51666,0.48311,0.45825,0.36352,0.52542,0.47655,0.45531,0.35218,0.6652,1.3712,1.12701,1.07638,0.00929476,0.00929476,0.00929476
88,11615.5,0.95672,1.77418,1.68932,1.25457,0.53156,0.46656,0.46228,0.36704,0.52651,0.45891,0.45342,0.35146,0.65585,1.3537,1.10418,1.07012,0.00927867,0.00927867,0.00927867
89,11654.6,0.93904,1.72721,1.64392,1.21817,0.51707,0.49018,0.45943,0.36802,0.51752,0.48577,0.45508,0.35379,0.66624,1.34319,1.1162,1.0745,0.00926242,0.00926242,0.00926242
90,11693.5,0.92117,1.7626,1.67709,1.23244,0.50872,0.49581,0.45888,0.37017,0.52909,0.47478,0.45686,0.35117,0.65971,1.34246,1.12248,1.07317,0.00924601,0.00924601,0.00924601
91,11732.5,0.91989,1.75171,1.65789,1.22949,0.51278,0.48836,0.46391,0.36968,0.51514,0.4874,0.46599,0.35927,0.67122,1.34805,1.10517,1.07217,0.00922942,0.00922942,0.00922942
92,11769.3,0.92503,1.68971,1.6511,1.23452,0.52978,0.47403,0.46244,0.36802,0.52926,0.47116,0.46376,0.35836,0.65897,1.32896,1.09605,1.07019,0.00921268,0.00921268,0.00921268
93,11809,0.9331,1.76696,1.68911,1.24544,0.54247,0.47668,0.46091,0.36877,0.54675,0.46748,0.45766,0.35584,0.6543,1.34052,1.09355,1.0677,0.00919576,0.00919576,0.00919576
94,11847.3,0.93742,1.77031,1.69579,1.2518,0.52288,0.50796,0.46422,0.36976,0.52171,0.49784,0.46016,0.35384,0.65925,1.3388,1.10165,1.06992,0.00917869,0.00917869,0.00917869
95,11884.8,0.9627,1.77619,1.66184,1.25871,0.52145,0.48611,0.46568,0.37188,0.5253,0.48362,0.46743,0.3576,0.66153,1.33542,1.12342,1.07363,0.00916145,0.00916145,0.00916145
96,11923.7,0.93348,1.76161,1.61488,1.23658,0.50401,0.48568,0.45772,0.36666,0.50243,0.4793,0.45286,0.3481,0.6604,1.33042,1.13283,1.07041,0.00914405,0.00914405,0.00914405
97,11962.2,0.91845,1.75995,1.62881,1.22337,0.53392,0.44471,0.44796,0.36091,0.53964,0.4293,0.44212,0.33933,0.66303,1.32834,1.1278,1.07604,0.00912649,0.00912649,0.00912649
98,12001.4,0.93728,1.75707,1.63904,1.23622,0.45719,0.47244,0.45729,0.3713,0.45124,0.47819,0.45399,0.34978,0.65218,1.32192,1.10807,1.0676,0.00910876,0.00910876,0.00910876
99,12040.5,0.91687,1.7209,1.60799,1.22814,0.53909,0.47087,0.46422,0.37242,0.53538,0.46697,0.46124,0.35333,0.65339,1.31564,1.08646,1.0655,0.00909088,0.00909088,0.00909088
100,12080.5,0.91526,1.65283,1.6224,1.21824,0.47478,0.51463,0.47522,0.37927,0.46547,0.50435,0.46808,0.36055,0.65173,1.32139,1.08437,1.05917,0.00907284,0.00907284,0.00907284
101,12120,0.92679,1.7265,1.58733,1.22167,0.52063,0.48824,0.47203,0.37851,0.56859,0.45025,0.46647,0.35955,0.64753,1.33304,1.0863,1.06042,0.00905463,0.00905463,0.00905463
102,12159.6,0.92333,1.74898,1.65603,1.23273,0.53392,0.46996,0.46358,0.37246,0.52885,0.46357,0.46005,0.3531,0.64315,1.32391,1.10468,1.06301,0.00903627,0.00903627,0.00903627
103,12199.3,0.91111,1.71759,1.59646,1.21957,0.49453,0.49734,0.46315,0.37623,0.49241,0.4882,0.45681,0.35262,0.63868,1.33057,1.09503,1.05567,0.00901776,0.00901776,0.00901776
104,12239.7,0.91181,1.68585,1.6239,1.21336,0.52602,0.49049,0.46326,0.37616,0.51846,0.48739,0.45309,0.35087,0.63541,1.33263,1.10976,1.05198,0.00899908,0.00899908,0.00899908
